優先順位,店名,評価,口コミ数,サイトURL,検出された弱点,DM下書きステータス,繁盛度スコア,サイト弱さスコア,住所,電話,Googleマップ
13,みその鍼灸接骨院,4.6,156,https://www.heart-medical.co.jp/shop/misono.html?utm_source=google&utm_medium=maps,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,717.6,,日本、〒460-0008 愛知県名古屋市中区栄一丁目１丁目１４−２０ 1階,052-265-8583,https://maps.google.com/?cid=8702777474848132504&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
14,肩甲骨はがす整体,4.9,141,https://www.sari-seitai.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,690.9,,日本、〒460-0002 愛知県名古屋市中区丸の内２丁目１３−１６ 丸の内スクエア 602,080-6910-3219,https://maps.google.com/?cid=15805906718895410462&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
15,ココロカラダメディカル整体院 上前津駅前院,4.7,140,https://seitai.co.jp/store/nagoya-kamimaezu/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_nagoya-kamimaezu&argument=QyssdmQI&dmai=S0095,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,658.0,,日本、〒460-0011 愛知県名古屋市中区大須４丁目１１−１０,052-253-9779,https://maps.google.com/?cid=2651706536591305036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
16,MAXIL conditioning salon 栄店,4.9,118,https://lin.ee/6bhQBHM,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,578.2,,日本、〒460-0008 愛知県名古屋市中区栄５丁目２０−２４ Ｊレジデンス栄II 603,052-990-4455,https://maps.google.com/?cid=16420352650952003079&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
17,ひろせ整体,4.3,126,https://3097o.crayonsite.net/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,541.8,,日本、〒460-0008 愛知県名古屋市中区栄４丁目９−１５,052-242-5017,https://maps.google.com/?cid=16587141853301554907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
18,栄あおば接骨院はりきゅう院,4.6,114,https://aoba-g.com/sakae/?utm_source=googles&utm_medium=maps,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,524.4,,日本、〒460-0008 愛知県名古屋市中区栄３丁目４−５ メルサ栄本店 4階,052-212-5945,https://maps.google.com/?cid=9000193490640964631&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
19,やすとも整体,4.8,103,http://yas-seitai.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,494.4,,日本、〒460-0007 愛知県名古屋市中区新栄１丁目４１−９ ニッシンセントラルレジデンス 2階,052-212-5886,https://maps.google.com/?cid=12428423932046398610&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
20,すずらん鍼灸接骨院 サカエチカ院,4.9,100,https://suzuran-758.com/sakaechika/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,490.0,,日本、〒460-0008 愛知県名古屋市中区栄３丁目４−６,052-228-9781,https://maps.google.com/?cid=8952336097224211600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
21,ゆるまる治療院,5.0,96,https://yurumaruchiryouin.jp/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,480.0,,日本、〒460-0008 愛知県名古屋市中区栄２丁目４−１０ セントラル広小路ビル ８階,052-228-7996,https://maps.google.com/?cid=4426802032281516213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
22,タイコ接骨院,4.8,98,http://taico-bonesetter.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,470.4,,日本、〒460-0008 愛知県名古屋市中区栄５丁目１６−１１ Ｓ’ｚビル １階,052-717-2261,https://maps.google.com/?cid=703846729705274310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
23,新栄町接骨院,4.8,90,https://shinsakae-machi.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,432.0,,日本、〒460-0007 愛知県名古屋市中区新栄２丁目５−３ ヒルズ新栄3号館 １階,052-228-4221,https://maps.google.com/?cid=4309042804858068437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
24,コアの樹鍼灸接骨院 上前津,4.9,82,https://koanoki-sekkotuin.jp/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,401.8,,日本、〒460-0011 愛知県名古屋市中区大須３丁目４４−３８ 上前津Ｓビル １階,052-700-0378,https://maps.google.com/?cid=13719831116118724897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
25,おざ鍼灸院・整体院,5.0,79,https://oza-shinkyuin.jp/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,395.0,,日本、〒460-0002 愛知県名古屋市中区丸の内２丁目９−５ 清水ハイツ ３０１,080-1568-9762,https://maps.google.com/?cid=3208485955890058860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
26,あおば鍼灸院接骨院 栄ナディアパーク店,4.9,77,https://beauty.hotpepper.jp/kr/slnH000692114/?cstt=2,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,377.3,,日本、〒460-0008 愛知県名古屋市中区栄３丁目１８−１ ナディアパーク 6F,052-265-6237,https://maps.google.com/?cid=8939762825371617638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
27,千種くま整体院,4.6,78,https://chikusa.kuma-born.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,358.8,,日本、〒460-0007 愛知県名古屋市中区新栄３丁目３−３ 9-2 G style千種,052-228-8485,https://maps.google.com/?cid=3611627512899443030&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
28,腰痛伊藤整体院,4.9,73,https://www.instagram.com/yamada_13561356?igsh=Zmhmb3BnOTlzNjJp&utm_source=qr,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,357.7,,日本、〒460-0012 愛知県名古屋市中区千代田１丁目１３−１８ マザック千代田 503,080-3668-5208,https://maps.google.com/?cid=2797489382050251858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
29,BodyLuck 上前津 整体院,5.0,60,https://coubic.com/bodyluck,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,300.0,,日本、〒460-0013 愛知県名古屋市中区上前津２丁目６−２６ パルスⅡ上前津 １０６,052-684-9097,https://maps.google.com/?cid=1715184711412578507&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
30,エルスリー鍼灸治療院 〜鍼灸ボディケア＆トレーニング〜,4.9,58,https://www.l3seitai.com/,（未チェック: この環境から店舗サイトへ接続できず。--recheck で再実行のこと）,,284.2,,日本、〒460-0003 愛知県名古屋市中区錦２丁目１６−２４ ヨリマチFUSHIMI 601,080-1987-2594,https://maps.google.com/?cid=12050920321288118193&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
